timestamp_ms,session_id,species,stress_state,voltage_mv,species_label,stress_label
0,aloe_healthy_run6,aloe,healthy,0.15689744,2,0
116,aloe_healthy_run6,aloe,healthy,-0.031350676,2,0
232,aloe_healthy_run6,aloe,healthy,0.37363225,2,0
348,aloe_healthy_run6,aloe,healthy,0.03982257,2,0
465,aloe_healthy_run6,aloe,healthy,0.07619814,2,0
581,aloe_healthy_run6,aloe,healthy,0.09118429,2,0
697,aloe_healthy_run6,aloe,healthy,0.24690068,2,0
813,aloe_healthy_run6,aloe,healthy,0.44162336,2,0
930,aloe_healthy_run6,aloe,healthy,0.30808765,2,0
1046,aloe_healthy_run6,aloe,healthy,0.08105778,2,0
1162,aloe_healthy_run6,aloe,healthy,0.25430685,2,0
1279,aloe_healthy_run6,aloe,healthy,0.27791113,2,0
1395,aloe_healthy_run6,aloe,healthy,-0.115442045,2,0
1511,aloe_healthy_run6,aloe,healthy,0.49640566,2,0
1627,aloe_healthy_run6,aloe,healthy,0.17718674,2,0
1744,aloe_healthy_run6,aloe,healthy,0.24514674,2,0
1860,aloe_healthy_run6,aloe,healthy,0.37425408,2,0
1976,aloe_healthy_run6,aloe,healthy,0.29512104,2,0
2093,aloe_healthy_run6,aloe,healthy,0.3373022,2,0
2209,aloe_healthy_run6,aloe,healthy,0.025920998,2,0
2325,aloe_healthy_run6,aloe,healthy,0.23927967,2,0
2441,aloe_healthy_run6,aloe,healthy,0.3814875,2,0
2558,aloe_healthy_run6,aloe,healthy,0.29605368,2,0
2674,aloe_healthy_run6,aloe,healthy,0.37581888,2,0
2790,aloe_healthy_run6,aloe,healthy,0.17462578,2,0
2906,aloe_healthy_run6,aloe,healthy,0.20368658,2,0
3023,aloe_healthy_run6,aloe,healthy,0.21130885,2,0
3139,aloe_healthy_run6,aloe,healthy,-0.011753795,2,0
3255,aloe_healthy_run6,aloe,healthy,0.07041076,2,0
3372,aloe_healthy_run6,aloe,healthy,0.14307326,2,0
3488,aloe_healthy_run6,aloe,healthy,0.2993563,2,0
3604,aloe_healthy_run6,aloe,healthy,0.27216998,2,0
3720,aloe_healthy_run6,aloe,healthy,0.25249195,2,0
