timestamp_ms,session_id,species,stress_state,voltage_mv,species_label,stress_label
0,mimosa_wound_response_run5,mimosa,wound_response,0.9197252,0,3
116,mimosa_wound_response_run5,mimosa,wound_response,0.6694919,0,3
232,mimosa_wound_response_run5,mimosa,wound_response,0.38600388,0,3
348,mimosa_wound_response_run5,mimosa,wound_response,-0.38121337,0,3
465,mimosa_wound_response_run5,mimosa,wound_response,0.67718357,0,3
581,mimosa_wound_response_run5,mimosa,wound_response,0.47543156,0,3
697,mimosa_wound_response_run5,mimosa,wound_response,0.5425735,0,3
813,mimosa_wound_response_run5,mimosa,wound_response,0.33666277,0,3
930,mimosa_wound_response_run5,mimosa,wound_response,-0.5604356,0,3
1046,mimosa_wound_response_run5,mimosa,wound_response,0.32011402,0,3
1162,mimosa_wound_response_run5,mimosa,wound_response,0.975825,0,3
1279,mimosa_wound_response_run5,mimosa,wound_response,0.16666551,0,3
1395,mimosa_wound_response_run5,mimosa,wound_response,0.9621303,0,3
1511,mimosa_wound_response_run5,mimosa,wound_response,0.5317914,0,3
1627,mimosa_wound_response_run5,mimosa,wound_response,0.89459145,0,3
1744,mimosa_wound_response_run5,mimosa,wound_response,0.7068691,0,3
1860,mimosa_wound_response_run5,mimosa,wound_response,-0.49224052,0,3
1976,mimosa_wound_response_run5,mimosa,wound_response,1.3161098,0,3
2093,mimosa_wound_response_run5,mimosa,wound_response,0.1682098,0,3
2209,mimosa_wound_response_run5,mimosa,wound_response,0.5864114,0,3
2325,mimosa_wound_response_run5,mimosa,wound_response,0.17975236,0,3
2441,mimosa_wound_response_run5,mimosa,wound_response,0.06103803,0,3
2558,mimosa_wound_response_run5,mimosa,wound_response,0.8747234,0,3
2674,mimosa_wound_response_run5,mimosa,wound_response,0.35645083,0,3
2790,mimosa_wound_response_run5,mimosa,wound_response,0.73895246,0,3
2906,mimosa_wound_response_run5,mimosa,wound_response,0.30106708,0,3
3023,mimosa_wound_response_run5,mimosa,wound_response,0.4455138,0,3
3139,mimosa_wound_response_run5,mimosa,wound_response,0.41266873,0,3
3255,mimosa_wound_response_run5,mimosa,wound_response,1.1257962,0,3
3372,mimosa_wound_response_run5,mimosa,wound_response,1.08312,0,3
3488,mimosa_wound_response_run5,mimosa,wound_response,0.28174695,0,3
3604,mimosa_wound_response_run5,mimosa,wound_response,0.50689715,0,3
3720,mimosa_wound_response_run5,mimosa,wound_response,0.58640325,0,3
3837,mimosa_wound_response_run5,mimosa,wound_response,0.43412608,0,3
3953,mimosa_wound_response_run5,mimosa,wound_response,0.24364191,0,3
4069,mimosa_wound_response_run5,mimosa,wound_response,1.0819961,0,3
4186,mimosa_wound_response_run5,mimosa,wound_response,-0.27855504,0,3
4302,mimosa_wound_response_run5,mimosa,wound_response,1.0466717,0,3
4418,mimosa_wound_response_run5,mimosa,wound_response,0.60107034,0,3
4534,mimosa_wound_response_run5,mimosa,wound_response,0.60241085,0,3
4651,mimosa_wound_response_run5,mimosa,wound_response,0.8337568,0,3
4767,mimosa_wound_response_run5,mimosa,wound_response,0.9075439,0,3
4883,mimosa_wound_response_run5,mimosa,wound_response,0.08630101,0,3
5000,mimosa_wound_response_run5,mimosa,wound_response,-0.052901883,0,3
5116,mimosa_wound_response_run5,mimosa,wound_response,0.4851532,0,3
5232,mimosa_wound_response_run5,mimosa,wound_response,0.6860253,0,3
5348,mimosa_wound_response_run5,mimosa,wound_response,0.35222608,0,3
5465,mimosa_wound_response_run5,mimosa,wound_response,0.7293207,0,3
5581,mimosa_wound_response_run5,mimosa,wound_response,0.71693784,0,3
5697,mimosa_wound_response_run5,mimosa,wound_response,0.21224129,0,3
5813,mimosa_wound_response_run5,mimosa,wound_response,0.68338025,0,3
5930,mimosa_wound_response_run5,mimosa,wound_response,-0.73021024,0,3
6046,mimosa_wound_response_run5,mimosa,wound_response,0.42418224,0,3
6162,mimosa_wound_response_run5,mimosa,wound_response,0.36836463,0,3
6279,mimosa_wound_response_run5,mimosa,wound_response,0.2707684,0,3
6395,mimosa_wound_response_run5,mimosa,wound_response,0.24585441,0,3
6511,mimosa_wound_response_run5,mimosa,wound_response,1.1196946,0,3
6627,mimosa_wound_response_run5,mimosa,wound_response,-0.2442572,0,3
6744,mimosa_wound_response_run5,mimosa,wound_response,0.24608393,0,3
6860,mimosa_wound_response_run5,mimosa,wound_response,0.19044039,0,3
6976,mimosa_wound_response_run5,mimosa,wound_response,0.8149026,0,3
7093,mimosa_wound_response_run5,mimosa,wound_response,0.52747947,0,3
7209,mimosa_wound_response_run5,mimosa,wound_response,0.21777846,0,3
7325,mimosa_wound_response_run5,mimosa,wound_response,-0.20526226,0,3
7441,mimosa_wound_response_run5,mimosa,wound_response,0.15834138,0,3
7558,mimosa_wound_response_run5,mimosa,wound_response,0.5821207,0,3
7674,mimosa_wound_response_run5,mimosa,wound_response,0.73765486,0,3
7790,mimosa_wound_response_run5,mimosa,wound_response,1.096035,0,3
7906,mimosa_wound_response_run5,mimosa,wound_response,0.24657953,0,3
8023,mimosa_wound_response_run5,mimosa,wound_response,0.08073298,0,3
8139,mimosa_wound_response_run5,mimosa,wound_response,0.28003445,0,3
8255,mimosa_wound_response_run5,mimosa,wound_response,1.3085139,0,3
8372,mimosa_wound_response_run5,mimosa,wound_response,-0.0412908,0,3
8488,mimosa_wound_response_run5,mimosa,wound_response,0.52377313,0,3
8604,mimosa_wound_response_run5,mimosa,wound_response,0.87806624,0,3
8720,mimosa_wound_response_run5,mimosa,wound_response,0.73153126,0,3
8837,mimosa_wound_response_run5,mimosa,wound_response,0.59823453,0,3
